subj_idx,valence,matchness,condition,rt_m,sd,var
13,Good,mismatch,word_first,622.6756756756756,121.49395367992919,14760.78078078078
13,Neutral,match,image_first,631.1212121212121,150.7379260454543,22721.922348484848
13,Neutral,match,simultaneous,729.4857142857143,181.832238685031,33062.96302521008
13,Neutral,match,word_first,584.4722222222222,113.61626797781359,12908.656349206349
13,Neutral,mismatch,image_first,754.5806451612904,248.79520014040307,61899.051612903226
13,Neutral,mismatch,simultaneous,765.8571428571429,116.29074690243438,13523.53781512605
13,Neutral,mismatch,word_first,718.40625,195.32683269991514,38152.571572580644
14,Bad,match,image_first,595.6428571428571,119.68886030213204,14325.42328042328
14,Bad,match,simultaneous,735.5357142857143,186.52067349281054,34789.96164021164
14,Bad,match,word_first,631.4444444444445,140.25414573846078,19671.225396825397
14,Bad,mismatch,image_first,602.1578947368421,135.34910343572093,18319.379800853487
14,Bad,mismatch,simultaneous,680.4324324324324,147.85475991671703,21861.03003003003
14,Bad,mismatch,word_first,617.4166666666666,117.27754017104651,13754.021428571428
14,Good,match,image_first,560.6857142857143,98.4284665389545,9688.163025210084
14,Good,match,simultaneous,723.918918918919,113.08462376526762,12788.132132132132
14,Good,match,word_first,659.36,119.32095373403617,14237.49
14,Good,mismatch,image_first,619.5263157894736,132.71993207443833,17614.580369843527
14,Good,mismatch,simultaneous,717.4324324324324,123.448716419352,15239.585585585586
14,Good,mismatch,word_first,633.1935483870968,110.01164161270653,12102.561290322581
14,Neutral,match,image_first,615.3823529411765,151.70985359937694,23015.879679144386
14,Neutral,match,simultaneous,726.1153846153846,97.57759042857204,9521.386153846153
14,Neutral,match,word_first,651.34375,165.2502714604183,27307.652217741936
14,Neutral,mismatch,image_first,607.258064516129,116.10253162382966,13479.797849462366
14,Neutral,mismatch,simultaneous,706.6052631578947,131.44036557039936,17276.569701280227
14,Neutral,mismatch,word_first,623.96875,154.72837477230033,23940.86995967742
15,Bad,match,image_first,681.0540540540541,122.26041104179271,14947.608108108108
15,Bad,match,simultaneous,793,185.83230897457938,34533.64705882353
15,Bad,match,word_first,747.9736842105264,169.669868137001,28787.86415362731
15,Bad,mismatch,image_first,648.2424242424242,70.10261688367557,4914.376893939394
15,Bad,mismatch,simultaneous,845.5806451612904,125.91657931438797,15854.984946236558
15,Bad,mismatch,word_first,827.6875,208.71935741873662,43563.770161290326
15,Good,match,image_first,657.7777777777778,154.41264032475934,23843.263492063492
15,Good,match,simultaneous,728.3783783783783,134.68860204011148,18141.01951951952
